Quantity,References,Value,Description,Manufacturer,Part Number,Vendor,Vendor Part Number
14,R16 R18 R24 R26 R32 R34 R42 R44 R50 R52 R58 R60 R77 R78,1k,"RES, 1206, 1k, 1/4W, 0.5%, T100",Yageo,AC1206DR-071KL,Mouser,AC1206DR-071KL
22,R17 R19 R25 R27 R33 R35 R43 R45 R51 R53 R59 R61 R66 R67 R68 R69 R76 R79 R80 R81 R84 R85,10k,"RES, 0603, 10k, 1/16W, 0.5%, T25",Susumu,RR0816P-103-D,Mouser,754-RR0816P-103D
3,R40 R41 R65,100k,"RES, 0603, 100k, 1/10W, 1%, T100",Panasonic,ERJ-3EKF1003V,Mouser,667-ERJ-3EKF1003V
1,R64,2.94k,"RES, 0603, 2.94k, 1/10W, 1%, T100",Panasonic,ERJ-3EKF2941V,Mouser,667-ERJ-3EKF2941V
1,R70,2.2k,"RES, 0603, 2.2k, 1/10W, 1%, T100",Panasonic,ERJ-3EKF2201V,Mouser,667-ERJ-3EKF2201V
1,R71,150R,"RES, 1218, 150R, 1W, 1%, T100",Vishay / Dale,CRCW1218150RFKEK,Mouser,71-CRCW1218-150-E3
2,R72 R73,422R,"RES, 0603, 422R, 1/10W, 1%, T100",Panasonic,ERJ-3EKF4220V,Mouser,667-ERJ-3EKF4220V
2,R74 R75,330k,"RES, 1206, 330k, 2/3W, 5%, T200",Panasonic,ERJ-P08J334V,Mouser,667-ERJ-P08J334V
2,R82 R83,1k,"RES, 0603, 1k, 1/10W, 1%, T100",Panasonic,ERJ-3EKF1001V,Mouser,667-ERJ-3EKF1001V
2,RL1 RL2,CPC1511Y,"MODULE, THT, SSR, Normally Open, 450mA",IXYS,CPC1511Y,Mouser,849-CPC1511Y
2,SW1 SW2,~,"SW, THT, Push Button",Wurth Electronics,430476085716,Mouser,710-430476085716
2,U1 U21,LMZ21700,"MODULE, SMD, Simple Switcher, 17V, 650mA",Texas Instruments,LMZ21700SILR,Mouser,595-LMZ21700SILR
1,U2,TMP100,"IC, SOT-23-6, I2C Temperature Sensor",Texas Instruments,TMP100AQDBVRQ1,Mouser,595-TMP100AQDBVRQ1
